city,town,district,neighborhood
rize,cayeli,merkezkoyler,sazliklar mah (sarisu koyu)
konya,eregli,merkez,mehmet akif mah
kars,kagizman,merkezkoyler,cengilli mah (cengilli koyu)
giresun,guce,merkezkoyler,asagi mah (akpinar koyu)
mus,korkut,merkezkoyler,kasdibi mah (degirmitas koyu)
nevsehir,merkez,goreme,aydinli-orta mah (goreme koyu)
elazig,sivrice,merkezkoyler,gelindere koyu
sinop,boyabat,merkezkoyler,tepe mah (kovacayir koyu)
bolu,merkez,merkezkoyler,sariahmetler mah (cobankaya koyu)
osmaniye,duzici,merkezkoyler,nasifli mah (yesildere koyu)
rize,merkez,merkezkoyler,bas mah (taskopru koyu)
adana,seyhan,fevzipasa,baris mah
erzincan,cayirli,merkezkoyler,ortacat koyu
kastamonu,devrekani,merkezkoyler,bayramoglu mah (alacay koyu)
adiyaman,samsat,merkezkoyler,goltarla koyu
igdir,karakoyunlu,merkez,fatih mah
adana,kozan,kahveli,eskimantas mah
izmir,menderes,gumuldur,gumuldur cumhuriyet mah
amasya,merkez,gokmedrese,bogazkoy mah
ardahan,hanak,merkezkoyler,yamacyolu koyu
artvin,yusufeli,merkezkoyler,cubuklu mah (dokumacilar koyu)
nigde,altunhisar,merkezkoyler,yukari asmaz mah (yesilyurt koyu)
bartin,merkez,merkezkoyler,turdu mah (akpinar koyu)
tunceli,ovacik,merkezkoyler,havuzlu koyu
zonguldak,caycuma,merkez,istasyon mah
sinop,sarayduzu,merkezkoyler,merkez mah (calpinar koyu)
samsun,canik,merkez,duvecik mah
ankara,sincan,merkez,esenler mah
kayseri,yahyali,merkez,seydili mah
bursa,yildirim,beyazit,mehmetakifersoy mah
kastamonu,catalzeytin,merkezkoyler,pazar yeri mah (kirazli koyu)
bitlis,guroymak,merkezkoyler,keklikpinar tescilsiz mezrasi mah (gedikpinar koyu)
bursa,iznik,merkez,mustafa kemal pasa mah
canakkale,ayvacik,merkezkoyler,misvak koyu
batman,kozluk,merkezkoyler,zorluca mah (ulasli koyu)
samsun,tekkekoy,merkez,erenkoy mah
burdur,tefenni,merkezkoyler,kaklik mah (beykoy koyu)
osmaniye,kadirli,merkezkoyler,kastal mah (yogunoluk koyu)
karabuk,safranbolu,merkezkoyler,kadioglu mah (kehler koyu)
bitlis,hizan,merkezkoyler,goze mah (kalkanli koyu)
aydin,kosk,merkez,kizilcakoy mah
bursa,buyukorhan,merkez,ceribasi mah
kastamonu,inebolu,merkezkoyler,erkekarpa mah (erkekarpa koyu)
mardin,nusaybin,merkez,hasantepe mah
adiyaman,besni,cakirhuyuk,comak koyu
sanliurfa,haliliye,baglarbasi,kosekoy mah
diyarbakir,hazro,merkez,resik mah
artvin,savsat,merkezkoyler,savahil mah (arpali koyu)
kayseri,yahyali,merkez,kavacik mah
karabuk,ovacik,merkezkoyler,egerciler mah (cukur koyu)
amasya,gumushacikoy,merkez,saray mah
elazig,kovancilar,merkezkoyler,hacimekke koyu
mardin,kiziltepe,merkez,dortyol mah
bayburt,merkez,bayburt,kadizade mah
antalya,akseki,merkez,degirmenlik mah
batman,sason,merkezkoyler,yukari ergunu mah (ergunu koyu)
tunceli,merkez,merkezkoyler,sinan mz mah (gulec koyu)
erzincan,kemah,merkezkoyler,yukari mah (komur koyu)
artvin,merkez,merkezkoyler,merkez mah (tutunculer koyu)
mus,merkez,merkezkoyler,baglar mah (baglar koyu)
corum,osmancik,merkezkoyler,kumbel mah (baldiran koyu)
bursa,yildirim,davutkadi,davutkadi mah
kirklareli,luleburgaz,merkezkoyler,hamzabey koyu
giresun,merkez,merkezkoyler,ust mah (camili koyu)
mardin,dargecit,merkez,tepebasi mah
bayburt,merkez,merkezkoyler,esentepe mah (aksar koyu)
erzurum,karayazi,merkez,uzengili mah
eskisehir,beylikova,merkez,asagidudas mah
istanbul,esenyurt,sanayi,koza mah
kastamonu,cide,merkezkoyler,ugurlu mah (ugurlu koyu)
canakkale,biga,gumuscay,cumhuriyet mah (gumuscay koyu)
konya,meram,tascami,bati hadimi mah
gumushane,kurtun,merkezkoyler,halil bey mah (yesilkoy koyu)
malatya,doganyol,merkez,yesilkoy mah
cankiri,bayramoren,merkezkoyler,dere mah (goynukoren koyu)
siirt,sirvan,merkezkoyler,dilecik mah (derincay koyu)
mersin,erdemli,merkez,sirac mah
bursa,yildirim,merkez,davutdede mah
karaman,merkez,merkezkoyler,kayaonu mah (yesildere koyu)
giresun,alucra,merkezkoyler,kamisli koyu
bolu,mengen,gokcesu,merkez mah (hayranlar koyu)
istanbul,pendik,camcesme,kavakpinar mah
sivas,yildizeli,merkezkoyler,yesilalan koyu
bursa,kestel,merkez,kazanci mah
adana,tufanbeyli,damlali,fatmakuyu mah
konya,beysehir,merkez,emen mah
balikesir,ayvalik,merkez,ali cetinkaya mah
aksaray,ortakoy,merkezkoyler,karapinar koyu
sivas,zara,merkezkoyler,karacayir koyu
burdur,merkez,merkezkoyler,yukari tekkeonu mah (askeriye koyu)
igdir,merkez,merkezkoyler,aralik yolu uzeri evleri mah (tacirli koyu)
tokat,niksar,merkezkoyler,kocu mah (cerkoy koyu)
sivas,gemerek,sizir,arpaozu mah (sizir koyu)
sivas,ulas,merkezkoyler,bostankaya koyu
istanbul,eyupsultan,eyup,merkez mah
afyonkarahisar,sandikli,merkezkoyler,kinik koyu
afyonkarahisar,bayat,merkez,yeni mah
artvin,savsat,merkezkoyler,yenkahor mah (arpali koyu)
aksaray,merkez,merkezkoyler,macarli koyu
elazig,baskil,merkezkoyler,goleler mah (akusagi koyu)
gaziantep,sehitkamil,ibrahimli,batikent mah
rize,pazar,merkezkoyler,hukanoglu mevki mah (handagi koyu)
sivas,merkez,carsi,cami-i kebir mah
cankiri,atkaracalar,merkezkoyler,hurriyet mah (cardakli koyu)
balikesir,edremit,merkez,cumhuriyet mah
nigde,bor,merkezkoyler,okullar mah (kizilca koyu)
sakarya,karapurcek,merkez,cumhuriyet mah
usak,merkez,merkezkoyler,alisanlar mah (sorkun koyu)
konya,seydisehir,seydisehir,oglakci mah
eskisehir,odunpazari,kanlipinar,kuyucak mah
gaziantep,nizip,merkez,sekili mah
bolu,mengen,merkezkoyler,seyrek mah (basyellice koyu)
kutahya,aslanapa,merkezkoyler,bayat koyu
bartin,merkez,merkezkoyler,elmalik mah (kislakoy koyu)
kutahya,merkez,merkezkoyler,bayat koyu
osmaniye,duzici,merkezkoyler,hidirli mah (cercioglu koyu)
isparta,egirdir,merkezkoyler,karsiyaka mah (akdogan koyu)
siirt,kurtalan,merkezkoyler,cattepe koyu
sinop,ayancik,merkezkoyler,ellez mah (kurtkoy koyu)
bingol,merkez,merkezkoyler,cevizli mah (kusburnu koyu)
balikesir,savastepe,karacam,dikmeler mah
giresun,yaglidere,merkezkoyler,tarakci mah (akpinar koyu)
gaziantep,karkamis,merkez,korkmazlar mah
cankiri,merkez,merkezkoyler,germece koyu
sivas,yildizeli,merkezkoyler,doganli koyu
ankara,haymana,merkez,evci mah
bolu,goynuk,merkezkoyler,findicak mah (sunnet koyu)
konya,kulu,merkez,zincirlikuyu mah
osmaniye,duzici,merkez,bogazici mah
trabzon,dernekpazari,merkez,tascilar mah
artvin,yusufeli,merkezkoyler,cilliket mah (taskiran koyu)
kastamonu,inebolu,merkezkoyler,kurt mah (musakoy koyu)
kastamonu,kure,merkezkoyler,merkez mah (gulluce koyu)
mersin,toroslar,merkez,kavaklipinar mah
batman,kozluk,merkezkoyler,geyikli koyu
hatay,altinozu,merkez,erbasi mah
gaziantep,oguzeli,merkez,yazili mah
gumushane,torul,merkezkoyler,has mh. (atalar koyu)
sinop,gerze,merkezkoyler,tazioglu mah (karli koyu)
burdur,aglasun,merkezkoyler,karagol mah (camlidere koyu)
artvin,yusufeli,merkezkoyler,sofuoglu mah (bostanci koyu)
istanbul,sile,agva,suayipli mah
kayseri,tomarza,merkez,yavuzselim mah
ardahan,merkez,ardahan,inonu mah
giresun,merkez,merkezkoyler,aligara mah (yazlik koyu)
tunceli,nazimiye,merkezkoyler,ballidere mah (ballica koyu)
batman,gercus,merkezkoyler,esentepe mah (karalan koyu)
kirikkale,keskin,merkezkoyler,yeni mah (koprukoy koyu)
izmir,karabaglar,yesilyurt,doganay mah
tokat,erbaa,karayaka,yayla mah (salkimoren koyu)
malatya,kale,merkez,akusagi mah
erzincan,merkez,aksemsettin,carsi mah
zonguldak,caycuma,merkezkoyler,kocamehmetoglu mah (derekoseler koyu)
kutahya,simav,merkezkoyler,toklar koyu
mardin,omerli,merkez,pinarcik mah
afyonkarahisar,sandikli,merkezkoyler,cukurca koyu
artvin,ardanuc,merkezkoyler,yayla mah (zekeriyakoy koyu)
mugla,marmaris,merkez,hatipirimi mah
sanliurfa,harran,merkez,kuruyer mah
bartin,merkez,merkezkoyler,dag mah (yenikoy koyu)
sakarya,tarakli,merkez,esenyurt mah
kocaeli,basiskele,merkez,servetiye karsi mah
ordu,kabatas,merkez,kuzkoy mah
corum,kargi,merkezkoyler,sovla mah (sinanozu koyu)
sivas,dogansar,merkezkoyler,kelosmangil mah (basekin koyu)
corum,oguzlar,karaoren,golbasi mah
samsun,havza,merkez,elmacik mah
karaman,ermenek,merkezkoyler,olukpinar koyu
denizli,civril,merkez,senkoy mah
bursa,harmancik,merkez,ece mah
bolu,seben,merkezkoyler,yukari mah (gerenozu koyu)
sivas,imranli,merkezkoyler,cukuryurt koyu
agri,merkez,fevzicakmak,kurtulus mah
sakarya,adapazari,merkez,solaklar mah
sinop,erfelek,merkezkoyler,soku mah (tekke koyu)
bursa,kestel,merkez,soguksu mah
kayseri,yahyali,merkez,cigilli mah
corum,merkez,merkezkoyler,elkoy koyu
bilecik,merkez,merkezkoyler,abbaslik koyu
mersin,tarsus,yolboyu,tepecaylak mah
duzce,merkez,konuralp,haciyatagi mah (samandere koyu)
trabzon,of,merkez,kirecli mah
erzincan,kemah,merkezkoyler,yeniyerlesim mah (yastiktepe koyu)
corum,sungurlu,merkezkoyler,cavuscu koyu
erzincan,refahiye,merkezkoyler,leventler koyu
eskisehir,sivrihisar,merkez,ibikseydi mah
giresun,bulancak,merkezkoyler,bolukbasi mah (hisarkaya koyu)
gumushane,merkez,merkezkoyler,nazlicayir mah (nazlicayir koyu)
sinop,merkez,merkezkoyler,yeni afet evleri mah (bostancili koyu)
sanliurfa,harran,merkez,yardimli mah
ankara,kalecik,merkez,ahiler yenice mah
kastamonu,merkez,merkezkoyler,kamber mah (dayilar koyu)
afyonkarahisar,dinar,merkezkoyler,duman koyu
izmir,cigli,harmandali,ahmet efendi mah
sivas,imranli,merkezkoyler,percemli mah (yoncabayiri koyu)
usak,merkez,merkezkoyler,koy merkezi mah (emirfaki koyu)
izmir,tire,merkez,cayirli mah
usak,merkez,merkezkoyler,kocaduz mah (gokcedal koyu)
samsun,asarcik,merkez,yarimca mah
afyonkarahisar,basmakci,merkezkoyler,tinalar mah (ovacik koyu)
denizli,bozkurt,merkez,mehmetcik mah
erzincan,tercan,merkezkoyler,istasyon mah (kargin koyu)
kastamonu,devrekani,merkezkoyler,karahuseyin mah (doguorcunler koyu)
bingol,merkez,merkezkoyler,gayt mah (akdurmus koyu)
adiyaman,merkez,kuyucak,bahce mah (pinaryayla koyu)
bolu,seben,merkezkoyler,dikmen mah (gerenozu koyu)
kutahya,merkez,merkezkoyler,yakaca koyu
sinop,erfelek,merkezkoyler,erpelek mah (mescitduzu koyu)
izmir,odemis,merkez,bozdag mah
gumushane,torul,merkezkoyler,meyramana mh. (guvemli koyu)
sivas,divrigi,merkezkoyler,incirlipinar koyu
mus,merkez,merkezkoyler,danacik mah (inardi koyu)
kastamonu,kure,merkezkoyler,tuluoglu mah (camili koyu)
manisa,alasehir,merkez,kurudere mah
edirne,merkez,edirne,karaagac mah
tokat,zile,merkezkoyler,hatippinari koyu
malatya,doganyol,merkez,mezraa mah
sinop,merkez,merkezkoyler,tunustoglu mah (taypakli koyu)
adana,karatas,merkez,dolapli mah
sivas,susehri,merkezkoyler,karacaoren koyu
mus,varto,merkezkoyler,yedikavak koyu
erzurum,tekman,merkez,gulveren mah
rize,guneysu,merkezkoyler,yesilyaprak mah (gurgen koyu)
samsun,canik,merkez,avluca mah
bolu,goynuk,merkezkoyler,kilciler koyu
giresun,yaglidere,merkezkoyler,manastir mah (gulluce koyu)
antalya,manavgat,tasagil,caltepe mah
kastamonu,agli,merkezkoyler,pasaoglu mah (akcakese koyu)
kocaeli,izmit,merkez,orhaniye mah
tokat,resadiye,merkezkoyler,alicik mah (saraykisla koyu)
tokat,almus,merkezkoyler,orta mah (mescitkoy koyu)
giresun,bulancak,kovanlik,merkez mah (bayindir koyu)
sakarya,erenler,merkez,baglar mah
kutahya,pazarlar,merkez,fatih mah
sivas,zara,merkezkoyler,cogu mah (bolucan koyu)
kastamonu,azdavay,merkezkoyler,pelitveren mah (dereyucek koyu)
osmaniye,merkez,merkezkoyler,tuluculer mah (kirmacili koyu)
cankiri,sabanozu,merkez,gurpinar mah
zonguldak,caycuma,persembe,yaniklar mah (dursunlar koyu)
aydin,nazilli,sumer,cumhuriyet mah
samsun,terme,merkez,gundogdu mah
aydin,incirliova,merkez,sirindere mah
bolu,dortdivan,merkezkoyler,kuruca campinar yaylasi mah (kuruca koyu)
denizli,merkezefendi,sumer,eskihisar mah
kayseri,pinarbasi,merkez,kilicmehmet mah
denizli,pamukkale,kinikli,cumhuriyet mah
batman,kozluk,merkezkoyler,gumusorgu koyu
corum,merkez,gulabibey,kale mah
sinop,duragan,merkezkoyler,asagibayat mah (bayat koyu)
zonguldak,caycuma,merkezkoyler,gemecler mah (ahatli koyu)
izmir,bayindir,canli,ataturk mah
mersin,akdeniz,baris,hamidiye mah
antalya,kemer,merkez,arslanbucak mah
gumushane,merkez,merkezkoyler,merkez mah (akocak koyu)
isparta,gelendost,merkezkoyler,asagi mah (yenice koyu)
bitlis,guroymak,merkezkoyler,tasustu koyu
manisa,turgutlu,merkez,sehitler mah
kayseri,bunyan,merkez,yeni suksun mah
antalya,aksu,merkez,kundu mah
malatya,arguvan,merkez,karahuyuk mah
corum,dodurga,merkezkoyler,yeniokul mah (alpagut koyu)
izmir,odemis,merkez,bayirli mah
giresun,espiye,merkezkoyler,merkez mah (sahinyuva koyu)
sinop,gerze,merkezkoyler,hacilar mah (kuzsoku koyu)
rize,cayeli,buyukkoy,kaksili mah (besikciler koyu)
afyonkarahisar,cobanlar,merkez,zafer mah
tokat,zile,merkezkoyler,boldaci koyu
konya,beysehir,merkez,fasillar mah
bolu,mudurnu,merkezkoyler,kizilcikli mah (samat koyu)
yalova,merkez,baglarbasi,bayraktepe mah
ordu,altinordu,saraycik,delikkaya mah
istanbul,eyupsultan,alibeykoy,emniyettepe mah
erzincan,kemah,merkezkoyler,cat mah (bozoglak koyu)
sinop,merkez,merkezkoyler,koseli mah (karapinar koyu)
manisa,salihli,poyraz,cukuroba mah
rize,findikli,merkezkoyler,sarikaya mah (cinarli koyu)
sanliurfa,harran,merkez,taylica mah
izmir,bergama,merkez,asagiilgindere mah
bolu,goynuk,merkezkoyler,depo mah (ibrahimozu koyu)
bingol,merkez,agaceli,sofyan mah (gokceli koyu)
sakarya,arifiye,merkez,arifbey mah
mugla,ula,merkez,kizilyaka mah
malatya,arapgir,merkez,bogazli mah
elazig,merkez,merkezkoyler,sanayiosb mah (yazikonak koyu)
adana,ceyhan,buyukmangit,mercin mah
tokat,erbaa,merkezkoyler,hacipazar koyu
kocaeli,golcuk,degirmendere,halidere yeni mah
tekirdag,muratli,merkez,balabanli mah
samsun,carsamba,merkez,kaydan mah
kastamonu,taskopru,merkezkoyler,tepe mah (hamzaoglu koyu)
isparta,yalvac,merkezkoyler,misirli koyu
artvin,savsat,merkezkoyler,altinoluk mah (kupluce koyu)
elazig,sivrice,merkezkoyler,bogaz mah (kavalli koyu)
giresun,tirebolu,merkezkoyler,orta mah (ede koyu)
sinop,merkez,merkezkoyler,yukarikoy mah (tingiroglu koyu)
isparta,sarkikaraagac,merkezkoyler,corduk mah (cicekpinar koyu)
giresun,gorele,merkezkoyler,merkez mah (eserli koyu)
siirt,eruh,baggoze,salkimbaglar koyu
bitlis,tatvan,merkezkoyler,orenlik koyu
rize,findikli,merkezkoyler,cicekli mah (doganay koyu)
diyarbakir,cinar,merkez,akcomak mah
denizli,buldan,merkez,helvacilar mah
van,catak,merkez,eliacik mah
aydin,kosk,merkez,karatepe mah
burdur,merkez,merkezkoyler,ova mah (callica koyu)
artvin,ardanuc,merkezkoyler,cayagzi mah (tepeduzu koyu)
erzurum,senkaya,merkez,yesildemet mah
mersin,tarsus,asagi koyler,saglikli mah
giresun,dereli,merkezkoyler,deginmenarkasi mah (yuce koyu)
denizli,tavas,merkez,sofular mah
bingol,adakli,merkezkoyler,aga koy mah (sutluce koyu)
gumushane,torul,merkezkoyler,yuva mh. (kirazlik koyu)
giresun,yaglidere,merkezkoyler,saripoyrak mah (sinirkoy koyu)
giresun,espiye,merkezkoyler,vardomuz -alisangil mah (sahinyuva koyu)
batman,gercus,merkezkoyler,yucekoy koyu
giresun,kesap,merkezkoyler,duz mah (erkoy koyu)
sivas,zara,merkezkoyler,utuk koyu
karabuk,eskipazar,merkezkoyler,asagi karahasanlar mah (karahasanlar koyu)
antalya,alanya,merkez,dinek mah
sinop,duragan,merkezkoyler,golyeri mah (kirencik koyu)
kirsehir,akcakent,kosefakili,kosefakili bucak merkezi koyu
manisa,sehzadeler,merkez,tepecik mah
bolu,mengen,gokcesu,tilkioglu mah (kayabuku koyu)
elazig,maden,merkezkoyler,yoncali mah (kayalar koyu)
nigde,bor,merkezkoyler,saray mah (bahceli koyu)
adana,kozan,hacibeyli,gazi mah
sivas,gemerek,merkezkoyler,ebiller mah (ozici koyu)
erzincan,kemah,merkezkoyler,agaba mah (muratboynu koyu)
kahramanmaras,caglayancerit,merkez,kale mah
istanbul,uskudar,muratreis,muratreis mah
sivas,koyulhisar,merkezkoyler,saricicek yaylasi mah (boyali koyu)
sanliurfa,karakopru,merkez,buyuksalkim mah
ankara,cubuk,merkez,dalyasan mah
bartin,merkez,merkezkoyler,calikoglu mah (kutlubeydemirci koyu)
duzce,yigilca,merkezkoyler,yaylatepe koyu
mersin,camliyayla,merkez,sebil mah
trabzon,tonya,merkez,buyuk mah
mus,merkez,merkezkoyler,suvaran mah (suvaran koyu)
ankara,etimesgut,merkez,istasyon mah
sivas,zara,merkezkoyler,sahin mah (karaman koyu)
sinop,ayancik,merkezkoyler,merkez mah (erikli koyu)
giresun,merkez,merkezkoyler,kovanacik mah (hamidiye koyu)
isparta,merkez,kutlubey,yayla mah
kastamonu,merkez,merkezkoyler,koseoglu mah (koseoglu koyu)
giresun,sebinkarahisar,merkezkoyler,ocaktasi koyu
edirne,merkez,merkezkoyler,bosna koyu
izmir,selcuk,merkez,ataturk mah
kastamonu,merkez,merkezkoyler,kasaba mah (kasaba koyu)
kahramanmaras,andirin,merkez,alinoluk mah
hatay,samandag,merkez,koyunoglu mah
adana,ceyhan,buyukmangit,buyukmangit mah
antalya,manavgat,merkez,evrenleryavsi mah
artvin,savsat,merkezkoyler,kayabasi koyu
adiyaman,golbasi,harmanli,cumhuriyet mah (harmanli koyu)
corum,iskilip,merkezkoyler,orta mah (kurusaray koyu)
erzincan,ilic,merkezkoyler,tardere mah (kurucay koyu)
bartin,merkez,kozcagiz,cay mah (hocaoglu koyu)
zonguldak,devrek,merkezkoyler,yeni hocaoglu mah (atakoy koyu)
sinop,ayancik,merkezkoyler,kirindi mah (babacay koyu)
van,ercis,merkez,cubuklu mah
mardin,savur,merkez,bagyaka mah
ankara,nallihan,merkez,aliaga mah
siirt,kurtalan,merkezkoyler,agaclipinar koyu
amasya,suluova,merkez,bir eylul mah
siirt,tillo,merkezkoyler,kursun mah (hatrant koyu)
bingol,solhan,merkezkoyler,tarhan koyu
gumushane,merkez,merkezkoyler,oruclu mah (dolek koyu)
usak,banaz,merkezkoyler,kaplangi koyu
kastamonu,merkez,merkezkoyler,ismailli kiraz mah (akkaya bucagi ismailli koyu)
erzurum,ispir,merkez,irmakkoy mah
giresun,bulancak,merkezkoyler,odabasoglu mah (kayhan koyu)
sivas,yildizeli,merkezkoyler,kalekoy koyu
ordu,persembe,merkez,sogukpinar mah
elazig,maden,merkezkoyler,sariyer mah (naldoken koyu)
sanliurfa,siverek,merkez,direkli mah
adiyaman,kahta,merkezkoyler,kayadibi koyu
kastamonu,tosya,merkezkoyler,kuruz mah (kilkuyu koyu)
bartin,merkez,merkezkoyler,uzunlar mah (cayir koyu)
sivas,zara,merkezkoyler,yikilgan koyu
aydin,kocarli,merkez,gaffarlar mah
mus,merkez,merkezkoyler,duzluk mah (guzeltepe koyu)
tokat,zile,merkezkoyler,deredibi mezrasi mah (sarac koyu)
duzce,golyaka,merkez koyler,yazlik  mah (yazlik koyu)
batman,merkez,merkezkoyler,yeni koy mah (diktepe koyu)
mus,merkez,merkezkoyler,kurtulusmezraa mah (gudumlu koyu)
bingol,genc,merkezkoyler,merkez mah (yagizca koyu)
sirnak,idil,merkezkoyler,yesilce mah (kozluca koyu)
malatya,arguvan,merkez,gocerusagi mah
agri,hamur,merkezkoyler,asagi mollahasan mah (yuvacik koyu)
kahramanmaras,onikisubat,suleymanli,koseli mah
igdir,merkez,merkezkoyler,gulpinar koyu
bingol,solhan,merkezkoyler,asagi zork mah (doguyeli koyu)
malatya,hekimhan,merkez,mimar sinan mah
tokat,turhal,merkezkoyler,cubuklu mah (akcatarla koyu)
bingol,kigi,merkezkoyler,zengok mah (ilbeyi koyu)
bolu,mengen,merkezkoyler,dumanlar mah (kadisusuz koyu)
erzurum,ispir,merkez,oztoprak mah
burdur,merkez,merkezkoyler,beskavak koyu
artvin,savsat,merkezkoyler,saracoglu mah (kayadibi koyu)
karabuk,eskipazar,merkezkoyler,merkez mah (deresemail koyu)
ankara,polatli,merkez,cekirdeksiz mah
zonguldak,devrek,merkezkoyler,lulecioglu mah (tabaklar koyu)
trabzon,salpazari,merkez,kuzuluk mah
malatya,doganyol,merkez,gokce mah
tunceli,mazgirt,merkezkoyler,agacardi koyu
artvin,yusufeli,merkezkoyler,yukari camlik mah (bahceli koyu)
artvin,merkez,merkezkoyler,hirhan mah (varlik koyu)
corum,sungurlu,merkezkoyler,kertme koyu
burdur,yesilova,merkezkoyler,omerler mah (orencik koyu)
van,gurpinar,merkez,arindi mah
elazig,baskil,merkezkoyler,subasi mah (dogancik koyu)
mersin,tarsus,asagi koyler,koselerli mah
diyarbakir,dicle,merkez,arikoy mah
zonguldak,caycuma,saltukova,torlaklar mah (karapinar koyu)
kastamonu,arac,merkezkoyler,mirusuttur mah (avlagicayiri koyu)
kahramanmaras,ekinozu,merkez,gaziler mah
kastamonu,merkez,merkezkoyler,otagece mah (asagiakca koyu)
sivas,hafik,merkezkoyler,ozen koyu
gaziantep,nizip,merkez,bahceli mah
tokat,merkez,merkezkoyler,hasanbaba koyu
sivas,zara,merkez,kizilirmak mah
diyarbakir,sur,balikcilarbasi,sariyazma mah
usak,banaz,merkezkoyler,kayaardi mah (gurlek koyu)
kutahya,aslanapa,merkezkoyler,bezirgan koyu
istanbul,esenyurt,saadetdere,talatpasa mah
osmaniye,kadirli,merkez,yeni mah
sakarya,adapazari,merkez,koprubasi mah
agri,merkez,merkezkoyler,yukarikupkiran koyu
rize,guneysu,merkezkoyler,ortakoy koyu
bursa,nilufer,ihsaniye,esentepe mah
ankara,kecioren,esertepe,esertepe mah
sinop,erfelek,merkezkoyler,merkez mah (kurcali koyu)
bitlis,merkez,merkezkoyler,bashan koyu
antalya,gazipasa,merkez,karalar mah
yozgat,sorgun,merkezkoyler,buyukeynelli koyu
kastamonu,tosya,merkezkoyler,ermelik mah (ermelik koyu)
antalya,akseki,merkez,belenalan mah
erzurum,uzundere,merkez,sapaca mah
sirnak,idil,merkezkoyler,yolacan koyu
ardahan,cildir,merkezkoyler,agilli koyu
kastamonu,kure,merkezkoyler,merkez mah (ikizciler koyu)
corum,alaca,merkezkoyler,ibrahim koyu
diyarbakir,ergani,merkez,bereketli mah
zonguldak,devrek,merkezkoyler,sirkecioglu mah (oguzhan koyu)
erzurum,pasinler,merkez,uzunark mah
giresun,bulancak,merkezkoyler,cekmebel mah (kayabasi koyu)
tokat,turhal,merkezkoyler,akbugday koyu
antalya,elmali,merkez,kisla mah
kirklareli,luleburgaz,merkezkoyler,turgutbey koyu
manisa,turgutlu,merkez,asagibozkir mah
samsun,alacam,merkez,akbulut mah
afyonkarahisar,cay,merkezkoyler,aydogmus koyu
mugla,bodrum,merkez,kucukbuk mah
eskisehir,beylikova,merkez,koprubasi osb mah
karaman,merkez,akcasehir,hurriyet mah
bingol,solhan,merkezkoyler,asagi koprubasi mah (yenidal koyu)
sivas,imranli,merkezkoyler,gokdere koyu
kutahya,merkez,merkezkoyler,guvem koyu
izmir,menemen,merkez,75.yil cumhuriyet mah
manisa,kirkagac,merkez,halkahavlu mah
kars,arpacay,merkez,yalincayir mah
sanliurfa,viransehir,merkez,ciftekuyu mah
kirikkale,keskin,merkezkoyler,guzelyaka mah (konur koyu)
mus,bulanik,merkezkoyler,demirkapi koyu
tekirdag,saray,merkez,yeni mah
adana,feke,akkaya,kayadibi mah
kirklareli,merkez,uskup,gundogdu mah (uskup koyu)
tokat,erbaa,merkezkoyler,mundar yazi mah (madenli koyu)
bitlis,tatvan,yelkenli,kisikli koyu
canakkale,gelibolu,evrese,kalealti koyu
izmir,kemalpasa,merkez,ornekkoy mah
hatay,payas,merkez,fatih mah
sanliurfa,halfeti,merkez,rustiye mah
sanliurfa,karakopru,merkez,buyukalanli mah
sivas,hafik,merkezkoyler,aylioglu koyu
yozgat,sarikaya,merkez,beyazit mah
afyonkarahisar,dazkiri,merkezkoyler,fatih mah (yuregil koyu)
usak,esme,merkezkoyler,halillikler mah (armutlu koyu)
zonguldak,eregli,merkezkoyler,akyazi mah (samlar koyu)
elazig,karakocan,merkezkoyler,isabey koyu
aksaray,merkez,merkezkoyler,kazicik koyu
sinop,ayancik,merkezkoyler,ceni mah (hacioglu koyu)
kastamonu,pinarbasi,merkezkoyler,bekdemir mah (hocalar koyu)
kastamonu,devrekani,merkezkoyler,kostekci mah (akmescit koyu)
sivas,zara,merkezkoyler,kavasbasi koyu
van,tusba,iskele,esenpinar mah
karaman,ermenek,merkezkoyler,kizilalan mah (gokceseki koyu)
kutahya,simav,merkez,karsiyaka mah
ankara,ayas,merkez,ilhankoy mah
kocaeli,basiskele,yenikoy,sepetlipinar mah
artvin,yusufeli,merkezkoyler,citogullari mah (camlica koyu)
sinop,duragan,merkezkoyler,merkez mah (golgerisi koyu)
van,tusba,iskele,yemlice mah
ordu,unye,merkez,aydintepe mah
gumushane,kose,merkez,fatih mah
nigde,merkez,merkezkoyler,hancerli koyu
trabzon,vakfikebir,merkez,bozalan mah
bingol,merkez,merkezkoyler,yeni yerlesim mah (duzyayla koyu)
zonguldak,caycuma,saltukova,pazar yeri mah (ihsanoglu koyu)
bursa,yildirim,davutkadi,piremir mah
elazig,kovancilar,merkezkoyler,yazibasi koyu
bartin,merkez,kozcagiz,solganlar mah (dirazlar koyu)
sanliurfa,siverek,merkez,tashan mah
rize,ardesen,merkezkoyler,arka mah (senyurt koyu)
kirklareli,vize,merkezkoyler,hasbuga koyu
canakkale,biga,merkezkoyler,cinardere koyu
ardahan,posof,merkezkoyler,kopuzlu koyu
duzce,merkez,konuralp,cam mah (eski mengencik koyu)
adana,feke,merkez,yesil dusmus mah
kastamonu,cide,merkezkoyler,kazanli mah (kazanli koyu)
kirklareli,luleburgaz,merkez,genclik mah
bingol,adakli,merkezkoyler,akbinek koyu
aksaray,merkez,baglikaya,yenimahalle mah
giresun,gorele,merkezkoyler,obakiran mah (cavuslu koyu)
